MED_MNEMONIC	RXCUI	RXNORM_DESCRIPTION	GENERIC	GENERIC_NAME	ATC	LEVEL4_DESCRIPTION	LEVEL3	LEVEL3_DESCRIPTION	LEVEL2	LEVEL2_DESCRIPTION	LEVEL1	LEVEL1_DESCRIPTION
2177	FLAGYL 500MG T500 MG	311681	metronidazole 500 MG Oral Tablet	6922	metronidazole	A01AB	ANTIINFECTIVES AND ANTISEPTICS FOR LOCAL ORAL TREATMENT	A01A	STOMATOLOGICAL PREPARATIONS	A01	STOMATOLOGICAL PREPARATIONS	A	ALIMENTARY TRACT AND METABOLISM
2178	FLAGYL 500MG T500 MG	311681	metronidazole 500 MG Oral Tablet	6922	metronidazole	D06BX	OTHER CHEMOTHERAPEUTICS	D06B	CHEMOTHERAPEUTICS FOR TOPICAL USE	D06	ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE	D	DERMATOLOGICALS
2179	FLAGYL 500MG T500 MG	311681	metronidazole 500 MG Oral Tablet	6922	metronidazole	G01AF	IMIDAZOLE DERIVATIVES	G01A	ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS	G01	GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS	G	GENITO URINARY SYSTEM AND SEX HORMONES
2180	FLAGYL 500MG T500 MG	311681	metronidazole 500 MG Oral Tablet	6922	metronidazole	J01XD	IMIDAZOLE DERIVATIVES	J01X	OTHER ANTIBACTERIALS	J01	ANTIBACTERIALS FOR SYSTEMIC USE	J	ANTIINFECTIVES FOR SYSTEMIC USE
2181	FLAGYL 500MG T500 MG	311681	metronidazole 500 MG Oral Tablet	6922	metronidazole	P01AB	NITROIMIDAZOLE DERIVATIVES	P01A	AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES	P01	ANTIPROTOZOALS	P	ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS
2182	ZOLOFT ORAL20 MG/ML	861064	sertraline 20 MG/ML Oral Solution	36437	sertraline	N06AB	SELECTIVE SEROTONIN REUPTAKE INHIBITORS	N06A	ANTIDEPRESSANTS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
2183	TIROSINT25 MCG	966423	levothyroxine sodium 0.025 MG Oral Capsule [Tirosint]	10582	levothyroxine	H03AA	THYROID HORMONES	H03A	THYROID PREPARATIONS	H03	THYROID THERAPY	H	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
2184	NICODERM C1 PATCH .3	198030	24 HR nicotine 0.875 MG/HR Transdermal System	7407	nicotine	N07BA	DRUGS USED IN NICOTINE DEPENDENCE	N07B	DRUGS USED IN ADDICTIVE DISORDERS	N07	OTHER NERVOUS SYSTEM DRUGS	N	NERVOUS SYSTEM
2185	ESTRACE2 MG	197659	estradiol 2 MG Oral Tablet	4083	estradiol	G03CA	NATURAL AND SEMISYNTHETIC ESTROGENS, PLAIN	G03C	ESTROGENS	G03	SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM	G	GENITO URINARY SYSTEM AND SEX HORMONES
2186	AQUAPHOR OINTM105 GM	1052954	petrolatum 0.41 MG/MG Topical Ointment [Aquaphor]	8091	petrolatum	D02AC	SOFT PARAFFIN AND FAT PRODUCTS	D02A	EMOLLIENTS AND PROTECTIVES	D02	EMOLLIENTS AND PROTECTIVES	D	DERMATOLOGICALS
2187	AQUAPHOR OINTM105 GM	1052954	petrolatum 0.41 MG/MG Topical Ointment [Aquaphor]	8091	petrolatum	D02AA	SILICONE PRODUCTS	D02A	EMOLLIENTS AND PROTECTIVES	D02	EMOLLIENTS AND PROTECTIVES	D	DERMATOLOGICALS
2188	AQUAPHOR OINTM105 GM	1052954	petrolatum 0.41 MG/MG Topical Ointment [Aquaphor]	8091	petrolatum	D02AB	ZINC PRODUCTS	D02A	EMOLLIENTS AND PROTECTIVES	D02	EMOLLIENTS AND PROTECTIVES	D	DERMATOLOGICALS
2189	AQUAPHOR OINTM105 GM	1052954	petrolatum 0.41 MG/MG Topical Ointment [Aquaphor]	8091	petrolatum	D04AX	OTHER ANTIPRURITICS	D04A	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	D04	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	D	DERMATOLOGICALS
2190	AQUAPHOR OINTM105 GM	1052954	petrolatum 0.41 MG/MG Topical Ointment [Aquaphor]	8091	petrolatum	S01XA	OTHER OPHTHALMOLOGICALS	S01X	OTHER OPHTHALMOLOGICALS	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
2191	AQUAPHOR OINTM105 GM	1052954	petrolatum 0.41 MG/MG Topical Ointment [Aquaphor]	8091	petrolatum	D04AB	ANESTHETICS FOR TOPICAL USE	D04A	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	D04	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	D	DERMATOLOGICALS
2192	AQUAPHOR OINTM105 GM	1052954	petrolatum 0.41 MG/MG Topical Ointment [Aquaphor]	8091	petrolatum	N01BB	AMIDES	N01B	ANESTHETICS, LOCAL	N01	ANESTHETICS	N	NERVOUS SYSTEM
2193	AQUAPHOR OINTM105 GM	1052954	petrolatum 0.41 MG/MG Topical Ointment [Aquaphor]	8091	petrolatum	C05AD	LOCAL ANESTHETICS	C05A	AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE	C05	VASOPROTECTIVES	C	CARDIOVASCULAR SYSTEM
2194	AQUAPHOR OINTM105 GM	1052954	petrolatum 0.41 MG/MG Topical Ointment [Aquaphor]	8091	petrolatum	D01AC	IMIDAZOLE AND TRIAZOLE DERIVATIVES	D01A	ANTIFUNGALS FOR TOPICAL USE	D01	ANTIFUNGALS FOR DERMATOLOGICAL USE	D	DERMATOLOGICALS
2195	TIAZAC180 MG	830845	24 HR diltiazem hydrochloride 180 MG Extended Release Oral Capsule	3443	diltiazem	C05AE	MUSCLE RELAXANTS	C05A	AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE	C05	VASOPROTECTIVES	C	CARDIOVASCULAR SYSTEM
2196	TIAZAC180 MG	830845	24 HR diltiazem hydrochloride 180 MG Extended Release Oral Capsule	3443	diltiazem	C08DB	BENZOTHIAZEPINE DERIVATIVES	C08D	SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS	C08	CALCIUM CHANNEL BLOCKERS	C	CARDIOVASCULAR SYSTEM
2197	VITAMIN D31000 UNI2	199362	cholecalciferol 0.025 MG Oral Tablet	2418	cholecalciferol	A11CC	VITAMIN D AND ANALOGUES	A11C	VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO	A11	VITAMINS	A	ALIMENTARY TRACT AND METABOLISM
2198	ALDACTONE 50MG50 MG	198223	spironolactone 50 MG Oral Tablet	9997	spironolactone	C03DA	ALDOSTERONE ANTAGONISTS	C03D	ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS	C03	DIURETICS	C	CARDIOVASCULAR SYSTEM
2199	CELEXA20 MG	200371	citalopram 20 MG Oral Tablet	2556	citalopram	N06AB	SELECTIVE SEROTONIN REUPTAKE INHIBITORS	N06A	ANTIDEPRESSANTS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
2200	COLACE 100MG C100 MG	1247756	docusate sodium 100 MG Oral Capsule [Colace]	82003	docusate	B03AE	IRON IN OTHER COMBINATIONS	B03A	IRON PREPARATIONS	B03	ANTIANEMIC PREPARATIONS	B	BLOOD AND BLOOD FORMING ORGANS
2201	COLACE 100MG C100 MG	1247756	docusate sodium 100 MG Oral Capsule [Colace]	82003	docusate	A06AA	SOFTENERS, EMOLLIENTS	A06A	DRUGS FOR CONSTIPATION	A06	DRUGS FOR CONSTIPATION	A	ALIMENTARY TRACT AND METABOLISM
2202	COLACE 100MG C100 MG	1247756	docusate sodium 100 MG Oral Capsule [Colace]	82003	docusate	A06AG	ENEMAS	A06A	DRUGS FOR CONSTIPATION	A06	DRUGS FOR CONSTIPATION	A	ALIMENTARY TRACT AND METABOLISM
2203	COLACE 100MG C100 MG	1247756	docusate sodium 100 MG Oral Capsule [Colace]	82003	docusate	A06AB	CONTACT LAXATIVES	A06A	DRUGS FOR CONSTIPATION	A06	DRUGS FOR CONSTIPATION	A	ALIMENTARY TRACT AND METABOLISM
2204	COLACE 100MG C100 MG	1247756	docusate sodium 100 MG Oral Capsule [Colace]	82003	docusate	A11AB	MULTIVITAMINS, OTHER COMBINATIONS	A11A	MULTIVITAMINS, COMBINATIONS	A11	VITAMINS	A	ALIMENTARY TRACT AND METABOLISM
2205	MIRALAX119 GM	876195	polyethylene glycol 3350 17000 MG Powder for Oral Solution [Miralax]	221147	polyethylene glycol 3350	A06AB	CONTACT LAXATIVES	A06A	DRUGS FOR CONSTIPATION	A06	DRUGS FOR CONSTIPATION	A	ALIMENTARY TRACT AND METABOLISM
2206	MIRALAX119 GM	876195	polyethylene glycol 3350 17000 MG Powder for Oral Solution [Miralax]	221147	polyethylene glycol 3350	A06AD	OSMOTICALLY ACTING LAXATIVES	A06A	DRUGS FOR CONSTIPATION	A06	DRUGS FOR CONSTIPATION	A	ALIMENTARY TRACT AND METABOLISM
2207	HALDOL DEC50 MG/1 M1	1719862	1 ML haloperidol decanoate 50 MG/ML Injection	5093	haloperidol	N05AD	BUTYROPHENONE DERIVATIVES	N05A	ANTIPSYCHOTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
2208	VISTARIL 25MG C25 MG	995255	hydroxyzine pamoate 25 MG Oral Capsule [Vistaril]	5553	hydroxyzine	N05BB	DIPHENYLMETHANE DERIVATIVES	N05B	ANXIOLYTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
2209	BREO200-25	1648789	30 ACTUAT fluticasone furoate 0.2 MG/ACTUAT / vilanterol 0.025 MG/ACTUAT Dry Powder Inhaler [Breo]	1424888	fluticasone / vilanterol	R03AK	ADRENERGICS IN COMBINATION WITH CORTICOSTEROIDS OR OTHER DRUGS, EXCL. ANTICHOLINERGICS	R03A	ADRENERGICS, INHALANTS	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
2210	MEGESTROL ACETA40 MG	860221	megestrol acetate 40 MG Oral Tablet	6703	megestrol	G03AC	PROGESTOGENS	G03A	HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE	G03	SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM	G	GENITO URINARY SYSTEM AND SEX HORMONES
2211	MEGESTROL ACETA40 MG	860221	megestrol acetate 40 MG Oral Tablet	6703	megestrol	G03DB	PREGNADIEN DERIVATIVES	G03D	PROGESTOGENS	G03	SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM	G	GENITO URINARY SYSTEM AND SEX HORMONES
2212	MEGESTROL ACETA40 MG	860221	megestrol acetate 40 MG Oral Tablet	6703	megestrol	L02AB	PROGESTOGENS	L02A	HORMONES AND RELATED AGENTS	L02	ENDOCRINE THERAPY	L	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
2213	HALOPERIDOL LAC5 MG	204416	haloperidol 5 MG/ML Injectable Solution	5093	haloperidol	N05AD	BUTYROPHENONE DERIVATIVES	N05A	ANTIPSYCHOTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
2214	ONDANSETRON 4MG INJ	283504	ondansetron 2 MG/ML Injectable Solution	26225	ondansetron	A04AA	SEROTONIN (5HT3) ANTAGONISTS	A04A	ANTIEMETICS AND ANTINAUSEANTS	A04	ANTIEMETICS AND ANTINAUSEANTS	A	ALIMENTARY TRACT AND METABOLISM
2215	CATAPRES-TTS 10.1 MG	998671	168 HR clonidine 0.00417 MG/HR Transdermal System	2599	clonidine	C02AC	IMIDAZOLINE RECEPTOR AGONISTS	C02A	ANTIADRENERGIC AGENTS, CENTRALLY ACTING	C02	ANTIHYPERTENSIVES	C	CARDIOVASCULAR SYSTEM
2216	CATAPRES-TTS 10.1 MG	998671	168 HR clonidine 0.00417 MG/HR Transdermal System	2599	clonidine	N02CX	OTHER ANTIMIGRAINE PREPARATIONS	N02C	ANTIMIGRAINE PREPARATIONS	N02	ANALGESICS	N	NERVOUS SYSTEM
2217	CATAPRES-TTS 10.1 MG	998671	168 HR clonidine 0.00417 MG/HR Transdermal System	2599	clonidine	S01EA	SYMPATHOMIMETICS IN GLAUCOMA THERAPY	S01E	ANTIGLAUCOMA PREPARATIONS AND MIOTICS	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
2218	MACROBID SA100 MG	311992	Nitrofurantoin 100 MG Oral Capsule	466542	nitrofurantoin, macrocrystals 25 MG / nitrofurantoin, monohydrate 75 MG Oral Capsule	J01XE	NITROFURAN DERIVATIVES	J01X	OTHER ANTIBACTERIALS	J01	ANTIBACTERIALS FOR SYSTEMIC USE	J	ANTIINFECTIVES FOR SYSTEMIC USE
2219	PERCOCET 5/325 MG	1049640	acetaminophen 325 MG / oxycodone hydrochloride 5 MG Oral Tablet [Percocet]	214183	acetaminophen / oxycodone	N02AJ	OPIOIDS IN COMBINATION WITH NON-OPIOID ANALGESICS	N02A	OPIOIDS	N02	ANALGESICS	N	NERVOUS SYSTEM
2220	K-DUR20 ME1	198116	potassium chloride 20 MEQ Extended Release Oral Tablet	8591	potassium chloride	A12BA	POTASSIUM	A12B	POTASSIUM	A12	MINERAL SUPPLEMENTS	A	ALIMENTARY TRACT AND METABOLISM
2221	K-DUR20 ME1	198116	potassium chloride 20 MEQ Extended Release Oral Tablet	8591	potassium chloride	B05XA	ELECTROLYTE SOLUTIONS	B05X	I.V. SOLUTION ADDITIVES	B05	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS	B	BLOOD AND BLOOD FORMING ORGANS
2222	FLUCONAZOLE50 MG	197701	fluconazole 50 MG Oral Tablet	4450	fluconazole	D01AC	IMIDAZOLE AND TRIAZOLE DERIVATIVES	D01A	ANTIFUNGALS FOR TOPICAL USE	D01	ANTIFUNGALS FOR DERMATOLOGICAL USE	D	DERMATOLOGICALS
2223	FLUCONAZOLE50 MG	197701	fluconazole 50 MG Oral Tablet	4450	fluconazole	J02AC	TRIAZOLE AND TETRAZOLE DERIVATIVES	J02A	ANTIMYCOTICS FOR SYSTEMIC USE	J02	ANTIMYCOTICS FOR SYSTEMIC USE	J	ANTIINFECTIVES FOR SYSTEMIC USE
2224	EFFEXOR XR150 MG	729931	24 HR venlafaxine 150 MG Extended Release Oral Capsule [Effexor]	39786	venlafaxine	N06AX	OTHER ANTIDEPRESSANTS	N06A	ANTIDEPRESSANTS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
2225	PROAIR HFA8.5 GM	745752	NDA021457 200 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [ProAir]	435	albuterol	R03AC	SELECTIVE BETA-2-ADRENORECEPTOR AGONISTS	R03A	ADRENERGICS, INHALANTS	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
2226	PROAIR HFA8.5 GM	745752	NDA021457 200 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [ProAir]	435	albuterol	R03CC	SELECTIVE BETA-2-ADRENORECEPTOR AGONISTS	R03C	ADRENERGICS FOR SYSTEMIC USE	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
2227	HALOPERIDOL20 MG	197754	haloperidol 20 MG Oral Tablet	5093	haloperidol	N05AD	BUTYROPHENONE DERIVATIVES	N05A	ANTIPSYCHOTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
2228	BANOPHEN25 MG	1092422	diphenhydramine hydrochloride 25 MG Oral Capsule [Banophen]	3498	diphenhydramine	D04AA	ANTIHISTAMINES FOR TOPICAL USE	D04A	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	D04	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	D	DERMATOLOGICALS
2229	BANOPHEN25 MG	1092422	diphenhydramine hydrochloride 25 MG Oral Capsule [Banophen]	3498	diphenhydramine	R06AA	AMINOALKYL ETHERS	R06A	ANTIHISTAMINES FOR SYSTEMIC USE	R06	ANTIHISTAMINES FOR SYSTEMIC USE	R	RESPIRATORY SYSTEM
2230	ZOFRAN4INJ	283504	ondansetron 2 MG/ML Injectable Solution	26225	ondansetron	A04AA	SEROTONIN (5HT3) ANTAGONISTS	A04A	ANTIEMETICS AND ANTINAUSEANTS	A04	ANTIEMETICS AND ANTINAUSEANTS	A	ALIMENTARY TRACT AND METABOLISM
2231	HALDOL DEC50 MG/1 M1	1720026	1 ML haloperidol decanoate 50 MG/ML Injection [Haldol]	5093	haloperidol	N05AD	BUTYROPHENONE DERIVATIVES	N05A	ANTIPSYCHOTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
2232	SIMVASTATIN10 MG	104490	simvastatin 10 MG Oral Tablet [Zocor]	36567	simvastatin	C10AA	HMG COA REDUCTASE INHIBITORS	C10A	LIPID MODIFYING AGENTS, PLAIN	C10	LIPID MODIFYING AGENTS	C	CARDIOVASCULAR SYSTEM
2233	LEVOXYL 50MCG	966221	levothyroxine sodium 0.05 MG Oral Tablet	10582	levothyroxine	H03AA	THYROID HORMONES	H03A	THYROID PREPARATIONS	H03	THYROID THERAPY	H	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
2234	EPIPEN0.3 MG/0.3	727347	NDA019430 0.3 ML epinephrine 1 MG/ML Auto-Injector [Epipen]	3992	epinephrine	A01AD	OTHER AGENTS FOR LOCAL ORAL TREATMENT	A01A	STOMATOLOGICAL PREPARATIONS	A01	STOMATOLOGICAL PREPARATIONS	A	ALIMENTARY TRACT AND METABOLISM
2235	EPIPEN0.3 MG/0.3	727347	NDA019430 0.3 ML epinephrine 1 MG/ML Auto-Injector [Epipen]	3992	epinephrine	B02BC	LOCAL HEMOSTATICS	B02B	VITAMIN K AND OTHER HEMOSTATICS	B02	ANTIHEMORRHAGICS	B	BLOOD AND BLOOD FORMING ORGANS
2236	EPIPEN0.3 MG/0.3	727347	NDA019430 0.3 ML epinephrine 1 MG/ML Auto-Injector [Epipen]	3992	epinephrine	C01CA	ADRENERGIC AND DOPAMINERGIC AGENTS	C01C	CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES	C01	CARDIAC THERAPY	C	CARDIOVASCULAR SYSTEM
2237	EPIPEN0.3 MG/0.3	727347	NDA019430 0.3 ML epinephrine 1 MG/ML Auto-Injector [Epipen]	3992	epinephrine	R01AA	SYMPATHOMIMETICS, PLAIN	R01A	DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE	R01	NASAL PREPARATIONS	R	RESPIRATORY SYSTEM
2238	EPIPEN0.3 MG/0.3	727347	NDA019430 0.3 ML epinephrine 1 MG/ML Auto-Injector [Epipen]	3992	epinephrine	R03AA	ALPHA- AND BETA-ADRENORECEPTOR AGONISTS	R03A	ADRENERGICS, INHALANTS	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
2239	EPIPEN0.3 MG/0.3	727347	NDA019430 0.3 ML epinephrine 1 MG/ML Auto-Injector [Epipen]	3992	epinephrine	S01EA	SYMPATHOMIMETICS IN GLAUCOMA THERAPY	S01E	ANTIGLAUCOMA PREPARATIONS AND MIOTICS	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
2240	MOISTURIZING EYE DRP	1739858	Dextran 70 1 MG/ML / hypromellose 3 MG/ML Ophthalmic Solution [GenTeal Tears Mild]	687306	dextran 70 1 MG/ML / hypromellose 3 MG/ML Ophthalmic Solution	S01XA	OTHER OPHTHALMOLOGICALS	S01X	OTHER OPHTHALMOLOGICALS	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
2241	NOVOLOG FL100 UNIT/M	847265	3 ML Insulin, Aspart, Human 100 UNT/ML Prefilled Syringe [NovoLog]	51428	3 ML insulin aspart, human 100 UNT/ML Pen Injector [NovoLog]	A10AB	INSULINS AND ANALOGUES FOR INJECTION, FAST-ACTING	A10A	INSULINS AND ANALOGUES	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
2242	PROCRIT2000 U/ML	239998	1 ML epoetin alfa 2000 UNT/ML Injection	105694	epoetin alfa	B03XA	OTHER ANTIANEMIC PREPARATIONS	B03X	OTHER ANTIANEMIC PREPARATIONS	B03	ANTIANEMIC PREPARATIONS	B	BLOOD AND BLOOD FORMING ORGANS
2243	ALPRAZOLAM0.25 M2	308047	alprazolam 0.25 MG Oral Tablet	596	alprazolam	N05BA	BENZODIAZEPINE DERIVATIVES	N05B	ANXIOLYTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
2244	LANOEO3.54	746083	mineral oil 0.15 MG/MG / petrolatum 0.83 MG/MG Ophthalmic Ointment	691286	mineral oil / petrolatum	S01XA	OTHER OPHTHALMOLOGICALS	S01X	OTHER OPHTHALMOLOGICALS	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
2245	ANCEF1GM	313929	Cefazolin 330 MG/ML Injectable Solution	2180	cefazolin 1000 MG Injection	J01DB	FIRST-GENERATION CEPHALOSPORINS	J01D	OTHER BETA-LACTAM ANTIBACTERIALS	J01	ANTIBACTERIALS FOR SYSTEMIC USE	J	ANTIINFECTIVES FOR SYSTEMIC USE
2246	LYRICA25 MG	483442	pregabalin 25 MG Oral Capsule	187832	pregabalin	N02BF	GABAPENTINOIDS	N02B	OTHER ANALGESICS AND ANTIPYRETICS	N02	ANALGESICS	N	NERVOUS SYSTEM
2247	HUMALOG100 UNIT/1	847209	3 ML Insulin Lispro 100 UNT/ML Prefilled Syringe [Humalog]	86009	3 ML insulin lispro 100 UNT/ML Pen Injector [Humalog]	A10AB	INSULINS AND ANALOGUES FOR INJECTION, FAST-ACTING	A10A	INSULINS AND ANALOGUES	A10	DRUGS USED IN DIABETES	A	ALIMENTARY TRACT AND METABOLISM
2248	MEDROL DOSEPACK4 MG	762675	{21 (methylprednisolone 4 MG Oral Tablet) } Pack	6902	methylprednisolone	D07AA	CORTICOSTEROIDS, WEAK (GROUP I)	D07A	CORTICOSTEROIDS, PLAIN	D07	CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS	D	DERMATOLOGICALS
2249	MEDROL DOSEPACK4 MG	762675	{21 (methylprednisolone 4 MG Oral Tablet) } Pack	6902	methylprednisolone	D10AA	CORTICOSTEROIDS, COMBINATIONS FOR TREATMENT OF ACNE	D10A	ANTI-ACNE PREPARATIONS FOR TOPICAL USE	D10	ANTI-ACNE PREPARATIONS	D	DERMATOLOGICALS
2250	MEDROL DOSEPACK4 MG	762675	{21 (methylprednisolone 4 MG Oral Tablet) } Pack	6902	methylprednisolone	H02AB	GLUCOCORTICOIDS	H02A	CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN	H02	CORTICOSTEROIDS FOR SYSTEMIC USE	H	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
2251	PHENERGAN6.25 MG/1	992432	promethazine hydrochloride 1.25 MG/ML Oral Solution	8745	promethazine	D04AA	ANTIHISTAMINES FOR TOPICAL USE	D04A	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	D04	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	D	DERMATOLOGICALS
2252	PHENERGAN6.25 MG/1	992432	promethazine hydrochloride 1.25 MG/ML Oral Solution	8745	promethazine	R06AD	PHENOTHIAZINE DERIVATIVES	R06A	ANTIHISTAMINES FOR SYSTEMIC USE	R06	ANTIHISTAMINES FOR SYSTEMIC USE	R	RESPIRATORY SYSTEM
2253	PROPRANOLOL 20M20 M1	856457	propranolol hydrochloride 20 MG Oral Tablet	8787	propranolol	C07AA	BETA BLOCKING AGENTS, NON-SELECTIVE	C07A	BETA BLOCKING AGENTS	C07	BETA BLOCKING AGENTS	C	CARDIOVASCULAR SYSTEM
2254	ZOCOR5 MG	208220	simvastatin 5 MG Oral Tablet [Zocor]	36567	simvastatin	C10AA	HMG COA REDUCTASE INHIBITORS	C10A	LIPID MODIFYING AGENTS, PLAIN	C10	LIPID MODIFYING AGENTS	C	CARDIOVASCULAR SYSTEM
2255	PEPCID20 MG	310273	famotidine 20 MG Oral Tablet	4278	famotidine	A02BA	H2-RECEPTOR ANTAGONISTS	A02B	DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)	A02	DRUGS FOR ACID RELATED DISORDERS	A	ALIMENTARY TRACT AND METABOLISM
2256	NIASPAN1000 MG	1098135	24 HR niacin 1000 MG Extended Release Oral Tablet [Niaspan]	7393	niacin	C04AC	NICOTINIC ACID AND DERIVATIVES	C04A	PERIPHERAL VASODILATORS	C04	PERIPHERAL VASODILATORS	C	CARDIOVASCULAR SYSTEM
2257	NIASPAN1000 MG	1098135	24 HR niacin 1000 MG Extended Release Oral Tablet [Niaspan]	7393	niacin	C10AD	NICOTINIC ACID AND DERIVATIVES	C10A	LIPID MODIFYING AGENTS, PLAIN	C10	LIPID MODIFYING AGENTS	C	CARDIOVASCULAR SYSTEM
2258	DIFLUCAN 200MG200 MG	207112	fluconazole 200 MG Oral Tablet [Diflucan]	4450	fluconazole	D01AC	IMIDAZOLE AND TRIAZOLE DERIVATIVES	D01A	ANTIFUNGALS FOR TOPICAL USE	D01	ANTIFUNGALS FOR DERMATOLOGICAL USE	D	DERMATOLOGICALS
2259	DIFLUCAN 200MG200 MG	207112	fluconazole 200 MG Oral Tablet [Diflucan]	4450	fluconazole	J02AC	TRIAZOLE AND TETRAZOLE DERIVATIVES	J02A	ANTIMYCOTICS FOR SYSTEMIC USE	J02	ANTIMYCOTICS FOR SYSTEMIC USE	J	ANTIINFECTIVES FOR SYSTEMIC USE
2260	MINIPRESS5 M1	198141	prazosin 5 MG Oral Capsule	8629	prazosin	C02CA	ALPHA-ADRENORECEPTOR ANTAGONISTS	C02C	ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING	C02	ANTIHYPERTENSIVES	C	CARDIOVASCULAR SYSTEM
2261	MACROBID100 M1	1648755	nitrofurantoin, macrocrystals 25 MG / nitrofurantoin, monohydrate 75 MG Oral Capsule	466542	nitrofurantoin, macrocrystals / nitrofurantoin, monohydrate	J01XE	NITROFURAN DERIVATIVES	J01X	OTHER ANTIBACTERIALS	J01	ANTIBACTERIALS FOR SYSTEMIC USE	J	ANTIINFECTIVES FOR SYSTEMIC USE
2262	DELSYM 30MG/5ML5 ML	727480	12 HR dextromethorphan polistirex 6 MG/ML Extended Release Suspension	3289	12 HR dextromethorphan polistirex 6 MG/ML Extended Release Suspension [Delsym]	R05DA	OPIUM ALKALOIDS AND DERIVATIVES	R05D	COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS	R05	COUGH AND COLD PREPARATIONS	R	RESPIRATORY SYSTEM
2263	DIFLUCAN200 MG	197700	fluconazole 200 MG Oral Tablet	4450	fluconazole	D01AC	IMIDAZOLE AND TRIAZOLE DERIVATIVES	D01A	ANTIFUNGALS FOR TOPICAL USE	D01	ANTIFUNGALS FOR DERMATOLOGICAL USE	D	DERMATOLOGICALS
